month,escola,slug,tutores,second_tutor,docs_fiscais (15_dias),mensagens (7_dias),atividades (7_dias),relatorios_diarios (7_dias),avaliacoes (7_dias),menus (7_dias),eventos (15_dias)
Mar,Imaginarte,https://imaginarte.educabiz.com,46.0,2.0,32.0,76.0,9.0,119.0,931.0,0.0,0.0
Mar,Academia das Letras,https://academiadasletras.educabiz.com,0.0,0.0,44.0,128.0,0.0,0.0,0.0,0.0,0.0
Mar,Escola de Judo Nuno Delgado,https://nunodelgado.educabiz.com,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mar,Terapia ao Quadrado,https://terapiaaoquadrado.educabiz.com,21.0,0.0,0.0,7.0,0.0,18.0,100.0,0.0,0.0
Mar,"Ler, Ver e Aprender",https://lervereaprender.educabiz.com,80.0,0.0,93.0,147.0,0.0,218.0,242.0,0.0,0.0
Mar,Ser Criança,https://sercrianca.educabiz.com,61.0,15.0,75.0,176.0,5.0,174.0,1377.0,3.0,2.0
Mar,Centro Social e Paroquial de Alfena,https://cspalfena-creche.educabiz.com,80.0,6.0,0.0,193.0,0.0,112.0,888.0,0.0,0.0
Mar,ASSOALFRA,https://assoalfra.educabiz.com,111.0,10.0,0.0,298.0,2.0,188.0,633.0,0.0,0.0
Mar,O Mundo de Mia,https://omundadamia.educabiz.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mar,Externato São Cristovão,https://saocristovao.educabiz.com,131.0,9.0,195.0,125.0,1.0,0.0,411.0,0.0,5.0
Mar,StudyAcademy,https://studyacademy.educabiz.com,74.0,3.0,213.0,199.0,0.0,0.0,0.0,0.0,0.0
Mar,Casa de Santa Isabel,https://florinhas-csi.educabiz.com,88.0,5.0,0.0,56.0,1.0,267.0,3730.0,0.0,0.0
Mar,Centro Social e Paroquial de Alfena,https://cspalfena.educabiz.com,104.0,15.0,0.0,717.0,0.0,308.0,917.0,0.0,0.0
Mar,Jardim-Escola João de Deus - Albarraque,https://jealbarraque.educabiz.com,296.0,29.0,0.0,519.0,1.0,115.0,360.0,0.0,14.0
Mar,ADDA,https://adda.educabiz.com,57.0,0.0,89.0,198.0,0.0,0.0,0.0,0.0,1.0
Mar,Morangos Gaia Serzedo,https://morangosgaiaserzedo.educabiz.com,45.0,5.0,49.0,363.0,18.0,95.0,833.0,2.0,0.0
Mar,Student Success,https://studentsuccess.educabiz.com,24.0,0.0,0.0,60.0,0.0,55.0,273.0,0.0,0.0
Mar,"Creche ""A Colmeia""",https://colmeia.educabiz.com,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
Mar,Quinta da Granja,https://votsf.educabiz.com,45.0,2.0,0.0,216.0,1.0,163.0,1369.0,0.0,0.0
Mar,Associação Luiz Pereira Motta,https://alpm.educabiz.com,319.0,30.0,0.0,1172.0,0.0,488.0,3033.0,0.0,0.0
Mar,"Estrelas e Rabiscos, Lda.",https://orecantodosnenucos.educabiz.com,1.0,0.0,0.0,1.0,2.0,0.0,29.0,0.0,0.0
Mar,Bambi,https://bambi.educabiz.com,50.0,7.0,0.0,202.0,0.0,122.0,841.0,2.0,0.0
Mar,Ginásio de Competências,https://ginasio-competencias.educabiz.com,14.0,1.0,21.0,53.0,0.0,5.0,31.0,0.0,0.0
Mar,Externato Passos Manuel,https://extpassosmanuel.educabiz.com,21.0,1.0,25.0,121.0,0.0,80.0,409.0,0.0,0.0
Mar,MISERICÓRDIA DA TROFA,https://misericordiadatrofa.educabiz.com,100.0,5.0,0.0,56.0,27.0,419.0,3366.0,0.0,2.0
Mar,Escola Lá Fora,https://escolalafora.educabiz.com,154.0,9.0,304.0,357.0,0.0,0.0,0.0,0.0,0.0
Mar,Centro Social Paroquial Sobreposta,https://cspsobreposta.educabiz.com,45.0,1.0,0.0,135.0,3.0,168.0,1083.0,0.0,0.0
Mar,Centro Social do Barredo,https://csbarredo.educabiz.com,40.0,0.0,0.0,182.0,3.0,144.0,1271.0,0.0,0.0
Mar,Centro Social D. Manuel Monteiro de Castro,https://csmmcastro.educabiz.com,85.0,3.0,0.0,192.0,0.0,158.0,938.0,0.0,0.0
Mar,CSP S. Pedro de Nariz,https://cspnariz.educabiz.com,73.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Mar,O Nosso Jardim - Póvoa de Santa Iria,https://onossojardimpsi.educabiz.com,144.0,13.0,217.0,469.0,0.0,292.0,2176.0,0.0,0.0
Mar,Externato Bom Jesus,https://externatobomjesus.educabiz.com,93.0,8.0,91.0,346.0,0.0,299.0,258.0,0.0,10.0
Mar,Colégio Pátio das Andorinhas IE,https://patiodasandorinhas.educabiz.com,103.0,25.0,336.0,668.0,0.0,344.0,1971.0,0.0,0.0
Mar,Externato Santa Maria do Mar,https://santamariadomar.educabiz.com,0.0,0.0,132.0,59.0,0.0,0.0,0.0,0.0,0.0
Mar,Royal School of Languages,https://royalschooloflanguages.educabiz.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mar,Project to be,https://projecttobe.educabiz.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mar,Cooperativa Miminhos Alegres,https://miminhosalegres.educabiz.com,107.0,27.0,0.0,128.0,0.0,337.0,2248.0,0.0,0.0
Mar,Casa do Menino Jesus,https://casameninojesus.educabiz.com,77.0,3.0,0.0,14.0,0.0,286.0,1350.0,0.0,0.0
Mar,O Nosso Jardim,https://onossojardim.educabiz.com,104.0,5.0,162.0,651.0,0.0,182.0,1190.0,0.0,0.0
Mar,Colégio Santa Teresinha,https://santateresinha.educabiz.com,94.0,5.0,109.0,291.0,4.0,153.0,927.0,0.0,5.0
Mar,Associação Abraço,https://abraco.educabiz.com,56.0,3.0,37.0,434.0,0.0,106.0,1006.0,1.0,2.0
Mar,Quinta dos Avós,https://quintadosavos.educabiz.com,79.0,8.0,118.0,342.0,0.0,260.0,1950.0,0.0,0.0
